item_name,size,synonyms,Ingredients
Barbecue Chicken Pizza,Large,"*Large Barbecue Chicken Pizza,Large Barbeque Chicken Pizza,Large Barbecue Pizza,Large Barbeque Pizza, bbq chicken Pizza,Barbecue Chicken*",Chicken
Barbecue Chicken Pizza,Extra Large,"*Extra Large Barbecue Chicken Pizza,Extra Large Barbeque Chicken Pizza,Extra Large Barbecue Pizza,Extra Large Barbeque Pizza, bbq chicken Pizza,Barbecue Chicken*",Grilled Chicken
Barbecue Chicken Pizza,Gluten Free,"*Gluten Free Barbecue Chicken Pizza,Gluten Free Barbeque Chicken Pizza,Gluten Free Barbecue Pizza,Gluten Free Barbeque Pizza, bbq chicken Pizza,Barbecue Chicken*",Crispy Chicken
Pizza Lite,Personal,"*Personal No cheese pizza,Pizza light,No cheese pizza,No keys pizza,No tees pizza,No peace pizza,Pizza lite,Pizza life,Pizza like*",Roasted Chicken
Pizza Lite,Small,"*Small No cheese pizza,Pizza light,No cheese pizza,No keys pizza,No tees pizza,No peace pizza,Pizza lite,Pizza life,Pizza like*",Extra Chicken
Pizza Lite,Large,"*Large No cheese pizza,Pizza light,No cheese pizza,No keys pizza,No tees pizza,No peace pizza,Pizza lite,Pizza life,Pizza like*",Chorizo
Pizza Lite,Extra Large,"*Extra Large No cheese pizza,Pizza light,No cheese pizza,No keys pizza,No tees pizza,No peace pizza,Pizza lite,Pizza life,Pizza like*",Extra Chorizo
Pizza Lite,Gluten Free,"*Gluten Free No cheese pizza,Pizza light,No cheese pizza,No keys pizza,No tees pizza,No peace pizza,Pizza lite,Pizza life,Pizza like*",Extra Cheese
Cheeseburger Pizza,Personal,"*Personal Cheeseburger,Personal Cheeseburger Pie,Personal Burger Pizza, hamburger pizza, hamburger, burger pizza*",Parmesan Cheese
Cheeseburger Pizza,Small,"*Small Cheeseburger,Small Cheeseburger Pie,Small Burger Pizza, hamburger pizza, hamburger, burger pizza*",Extra Parmesan Cheese
Cheeseburger Pizza,Large,"*Large Cheeseburger,Large Cheeseburger Pie,Large Burger Pizza, hamburger pizza, hamburger, burger pizza*",Romano Cheese
Cheeseburger Pizza,Extra Large,"*Extra Large Cheeseburger,Extra Large Cheeseburger Pie,Extra Large Burger Pizza, hamburger pizza, hamburger, burger pizza*",Extra Romano Cheese
Cheeseburger Pizza,Gluten Free,"*Gluten Free Cheeseburger,Gluten Free Cheeseburger Pie,Gluten Free Burger Pizza, hamburger pizza, hamburger, burger pizza*",Light Cheese
Mimis Masterpiece Pizza,Personal,"*Personal Mimis Masterpiece,Personal Masterpiece Pizza,Mimi masterpiece,Mimis masterpiece,Masterpiece*",Cheddar Cheese
Mimis Masterpiece Pizza,Small,"*Small Mimis Masterpiece,Small Masterpiece Pizza,Mimi masterpiece,Mimis masterpiece,Masterpiece*",Extra Cheddar Cheese
Mimis Masterpiece Pizza,Large,"*Large Mimis Masterpiece,Large Masterpiece Pizza,Mimi masterpiece,Mimis masterpiece,Masterpiece*",Blue Cheese Crumbles
Mimis Masterpiece Pizza,Extra Large,"*Extra Large Mimis Masterpiece,Extra Large Masterpiece Pizza,Mimi masterpiece,Mimis masterpiece,Masterpiece*",Extra Bleu Cheese Crumbles
Heart Shaped Pizza,Standard,"*10 inch Heart Pizza,10 inch Heart Shaped Pizza, Heart Shaped Pizza,Heart Pizza,10 inch Love Pizza,Love Pizza,Hard Pizza*",Supreme Topping
Lemon Pepper Bone In Wings,10 piece,"*Lemon Pepper Wings,Lemon Pepper,Lemon Pepper Traditional,Traditional Lemon Peppe,lemon rubbed,lemon Wings,10 wings,10 wing,10 wing,Wings,chicken wings*",Spice
Traditional Bone In Wings,10 piece,"*Bone In Wings,Bone In Wing,Boned Wings,Wings with Bone,Wings with Bones,Traditional Breaded,Traditional Wings,Traditional Wing,10 wings,10 wing,Wings,chicken wings,10 piece bone in wings,10 traditional wings,10 piece traditional wings*",Extra Spice
6 piece Chicken Dippers,Standard,"*Chicken Dippers 6 piece, Chicken Dippers 6 pieces, Chicken Nuggets, Chicken Dipper, Chicken Digger, Chicken Deeper, Large Tray Chicken Dippers, 6 piece Chicken Dipper,6 piece Chicken Nugget,Six Piece Chicken Nuggets,Chicken Dipper,Chicken Digger,Chicken Deeper,6 wing, 6 wings,6 Chicken Dippers*",Extra Italian Seasoning
